DATE_ANCRAGE,ISIN,SICOVAM,NOM,TICKER,RETENUE,MOTIF
2015-05-29,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-05-29,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-05-29,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-05-29,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-05-29,FR0000120628,12062,Axa,CS.PA,oui,
2015-05-29,FR0000131104,13110,BNP,BNP.PA,oui,
2015-05-29,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-05-29,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-05-29,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-05-29,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-05-29,FR0000120644,12064,DANONE,BN.PA,oui,
2015-05-29,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-05-29,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-05-29,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-05-29,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-05-29,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-05-29,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-05-29,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-05-29,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-05-29,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-05-29,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-05-29,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-05-29,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-05-29,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-05-29,FR0000131906,13190,Renault,RNO.PA,oui,
2015-05-29,FR0000073272,7327,Safran,SAF.PA,oui,
2015-05-29,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-05-29,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-05-29,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-05-29,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-05-29,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-05-29,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-05-29,FR0000120271,12027,Total,TTE.PA,oui,
2015-05-29,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-05-29,FR0000130338,13033,Valeo,FR.PA,oui,
2015-05-29,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-05-29,FR0000125486,12548,Vinci,DG.PA,oui,
2015-05-29,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-06-26,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-06-26,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-06-26,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-06-26,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-06-26,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-06-26,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-06-26,FR0000120628,12062,Axa,CS.PA,oui,
2015-06-26,FR0000131104,13110,BNP,BNP.PA,oui,
2015-06-26,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-06-26,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-06-26,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-06-26,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-06-26,FR0000120644,12064,DANONE,BN.PA,oui,
2015-06-26,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-06-26,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-06-26,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-06-26,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-06-26,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-06-26,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-06-26,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-06-26,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-06-26,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-06-26,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-06-26,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-06-26,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-06-26,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-06-26,FR0000131906,13190,Renault,RNO.PA,oui,
2015-06-26,FR0000073272,7327,Safran,SAF.PA,oui,
2015-06-26,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-06-26,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-06-26,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-06-26,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-06-26,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-06-26,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-06-26,FR0000120271,12027,Total,TTE.PA,oui,
2015-06-26,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-06-26,FR0000130338,13033,Valeo,FR.PA,oui,
2015-06-26,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-06-26,FR0000125486,12548,Vinci,DG.PA,oui,
2015-06-26,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-07-24,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-07-24,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-07-24,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-07-24,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-07-24,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-07-24,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-07-24,FR0000120628,12062,Axa,CS.PA,oui,
2015-07-24,FR0000131104,13110,BNP,BNP.PA,oui,
2015-07-24,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-07-24,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-07-24,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-07-24,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-07-24,FR0000120644,12064,DANONE,BN.PA,oui,
2015-07-24,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-07-24,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-07-24,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-07-24,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-07-24,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-07-24,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-07-24,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-07-24,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-07-24,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-07-24,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-07-24,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-07-24,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-07-24,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-07-24,FR0000131906,13190,Renault,RNO.PA,oui,
2015-07-24,FR0000073272,7327,Safran,SAF.PA,oui,
2015-07-24,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-07-24,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-07-24,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-07-24,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-07-24,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-07-24,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-07-24,FR0000120271,12027,Total,TTE.PA,oui,
2015-07-24,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-07-24,FR0000130338,13033,Valeo,FR.PA,oui,
2015-07-24,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-07-24,FR0000125486,12548,Vinci,DG.PA,oui,
2015-07-24,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-08-21,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-08-21,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-08-21,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-08-21,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-08-21,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-08-21,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-08-21,FR0000120628,12062,Axa,CS.PA,oui,
2015-08-21,FR0000131104,13110,BNP,BNP.PA,oui,
2015-08-21,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-08-21,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-08-21,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-08-21,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-08-21,FR0000120644,12064,DANONE,BN.PA,oui,
2015-08-21,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-08-21,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-08-21,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-08-21,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-08-21,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-08-21,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-08-21,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-08-21,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-08-21,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-08-21,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-08-21,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-08-21,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-08-21,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-08-21,FR0000131906,13190,Renault,RNO.PA,oui,
2015-08-21,FR0000073272,7327,Safran,SAF.PA,oui,
2015-08-21,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-08-21,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-08-21,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-08-21,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-08-21,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-08-21,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-08-21,FR0000120271,12027,Total,TTE.PA,oui,
2015-08-21,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-08-21,FR0000130338,13033,Valeo,FR.PA,oui,
2015-08-21,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-08-21,FR0000125486,12548,Vinci,DG.PA,oui,
2015-08-21,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-09-18,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-09-18,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-09-18,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-09-18,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-09-18,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-09-18,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-09-18,FR0000120628,12062,Axa,CS.PA,oui,
2015-09-18,FR0000131104,13110,BNP,BNP.PA,oui,
2015-09-18,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-09-18,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-09-18,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-09-18,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-09-18,FR0000120644,12064,DANONE,BN.PA,oui,
2015-09-18,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-09-18,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-09-18,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-09-18,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-09-18,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-09-18,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-09-18,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-09-18,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-09-18,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-09-18,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-09-18,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-09-18,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-09-18,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-09-18,FR0000131906,13190,Renault,RNO.PA,oui,
2015-09-18,FR0000073272,7327,Safran,SAF.PA,oui,
2015-09-18,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-09-18,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-09-18,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-09-18,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-09-18,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-09-18,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-09-18,FR0000120271,12027,Total,TTE.PA,oui,
2015-09-18,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-09-18,FR0000130338,13033,Valeo,FR.PA,oui,
2015-09-18,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-09-18,FR0000125486,12548,Vinci,DG.PA,oui,
2015-09-18,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-10-16,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-10-16,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-10-16,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-10-16,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-10-16,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-10-16,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-10-16,FR0000120628,12062,Axa,CS.PA,oui,
2015-10-16,FR0000131104,13110,BNP,BNP.PA,oui,
2015-10-16,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-10-16,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-10-16,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-10-16,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-10-16,FR0000120644,12064,DANONE,BN.PA,oui,
2015-10-16,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-10-16,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-10-16,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-10-16,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-10-16,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-10-16,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-10-16,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-10-16,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-10-16,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-10-16,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-10-16,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-10-16,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-10-16,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-10-16,FR0000131906,13190,Renault,RNO.PA,oui,
2015-10-16,FR0000073272,7327,Safran,SAF.PA,oui,
2015-10-16,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-10-16,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-10-16,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-10-16,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-10-16,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-10-16,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-10-16,FR0000120271,12027,Total,TTE.PA,oui,
2015-10-16,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-10-16,FR0000130338,13033,Valeo,FR.PA,oui,
2015-10-16,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-10-16,FR0000125486,12548,Vinci,DG.PA,oui,
2015-10-16,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-11-13,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-11-13,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-11-13,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-11-13,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-11-13,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-11-13,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-11-13,FR0000120628,12062,Axa,CS.PA,oui,
2015-11-13,FR0000131104,13110,BNP,BNP.PA,oui,
2015-11-13,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-11-13,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-11-13,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-11-13,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-11-13,FR0000120644,12064,DANONE,BN.PA,oui,
2015-11-13,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-11-13,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-11-13,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-11-13,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-11-13,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-11-13,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-11-13,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-11-13,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-11-13,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-11-13,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-11-13,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-11-13,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-11-13,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-11-13,FR0000131906,13190,Renault,RNO.PA,oui,
2015-11-13,FR0000073272,7327,Safran,SAF.PA,oui,
2015-11-13,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-11-13,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-11-13,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-11-13,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-11-13,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-11-13,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-11-13,FR0000120271,12027,Total,TTE.PA,oui,
2015-11-13,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-11-13,FR0000130338,13033,Valeo,FR.PA,oui,
2015-11-13,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-11-13,FR0000125486,12548,Vinci,DG.PA,oui,
2015-11-13,FR0000127771,12777,Vivendi,VIV.PA,oui,
2015-12-11,FR0000120404,12040,ACCOR,AC.PA,oui,
2015-12-11,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2015-12-11,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2015-12-11,FR0000130007,13000,ALCATEL,,non,aucune serie servie sur 2009-2018 (candidat ALU.PA)
2015-12-11,FR0010220475,1022047,Alstom,ALO.PA,oui,
2015-12-11,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2015-12-11,FR0000120628,12062,Axa,CS.PA,oui,
2015-12-11,FR0000131104,13110,BNP,BNP.PA,oui,
2015-12-11,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2015-12-11,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2015-12-11,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2015-12-11,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2015-12-11,FR0000120644,12064,DANONE,BN.PA,oui,
2015-12-11,FR0010242511,1024251,EDF,,non,aucune serie servie sur 2009-2018 (candidat EDF.PA)
2015-12-11,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2015-12-11,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2015-12-11,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2015-12-11,FR0000120321,12032,L'Oréal,OR.PA,oui,
2015-12-11,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2015-12-11,FR0010307819,1030781,Legrand,LR.PA,oui,
2015-12-11,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2015-12-11,FR0000121261,12126,Michelin B,ML.PA,oui,
2015-12-11,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2015-12-11,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2015-12-11,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2015-12-11,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2015-12-11,FR0000131906,13190,Renault,RNO.PA,oui,
2015-12-11,FR0000073272,7327,Safran,SAF.PA,oui,
2015-12-11,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2015-12-11,FR0000120578,12057,Sanofi,SAN.PA,oui,
2015-12-11,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2015-12-11,FR0000130809,13080,Société Générale,GLE.PA,oui,
2015-12-11,BE0003470755,5809,Solvay,SOLB.BR,oui,
2015-12-11,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2015-12-11,FR0000120271,12027,Total,TTE.PA,oui,
2015-12-11,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2015-12-11,FR0000130338,13033,Valeo,FR.PA,oui,
2015-12-11,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2015-12-11,FR0000125486,12548,Vinci,DG.PA,oui,
2015-12-11,FR0000127771,12777,Vivendi,VIV.PA,oui,
2016-01-13,FR0000120404,12040,ACCOR,AC.PA,oui,
2016-01-13,FR0000120073,12007,AIR LIQUIDE,AI.PA,oui,
2016-01-13,NL0000235190,5730,Airbus Group (ex-EADS),AIR.PA,oui,
2016-01-13,FR0010220475,1022047,Alstom,ALO.PA,oui,
2016-01-13,LU0323134006,32313400,ArcelorMittal,MT.AS,oui,
2016-01-13,FR0000120628,12062,Axa,CS.PA,oui,
2016-01-13,FR0000131104,13110,BNP,BNP.PA,oui,
2016-01-13,FR0000120503,12050,BOUYGUES,EN.PA,oui,
2016-01-13,FR0000125338,12533,Cap Gémini,CAP.PA,oui,
2016-01-13,FR0000120172,12017,CARREFOUR,CA.PA,oui,
2016-01-13,FR0000045072,4507,CREDIT AGRICOLE,ACA.PA,oui,
2016-01-13,FR0000120644,12064,DANONE,BN.PA,oui,
2016-01-13,FR0010208488,1020848,ENGIE (ex-GDF Suez),ENGI.PA,oui,
2016-01-13,FR0000121667,12166,EssilorLuxottica,EL.PA,oui,
2016-01-13,FR0000121485,12148,Kering (ex: Pinault-Printemps-Redoute),KER.PA,oui,
2016-01-13,FR0000121964,12196,Klepierre,LI.PA,oui,
2016-01-13,FR0000120321,12032,L'Oréal,OR.PA,oui,
2016-01-13,FR0000120537,12053,LafargeHolcim,,non,"servie en CHF seulement (HOLN.SW, 2514 seances)"
2016-01-13,FR0010307819,1030781,Legrand,LR.PA,oui,
2016-01-13,FR0000121014,12101,LVMH MOET HENESSY,MC.PA,oui,
2016-01-13,FR0000121261,12126,Michelin B,ML.PA,oui,
2016-01-13,FI0009000681,90068,Nokia,NOKIA.HE,oui,
2016-01-13,FR0000133308,13330,Orange (ex: France Télécom),ORA.PA,oui,
2016-01-13,FR0000120693,12069,Pernod Ricard,RI.PA,oui,
2016-01-13,FR0000121501,12150,Peugeot S.A.,,non,aucune serie servie sur 2009-2018 (candidat UG.PA)
2016-01-13,FR0000130577,13057,Publicis Groupe SA,PUB.PA,oui,
2016-01-13,FR0000131906,13190,Renault,RNO.PA,oui,
2016-01-13,FR0000073272,7327,Safran,SAF.PA,oui,
2016-01-13,FR0000125007,12500,SAINT-GOBAIN,SGO.PA,oui,
2016-01-13,FR0000120578,12057,Sanofi,SAN.PA,oui,
2016-01-13,FR0000121972,12197,Schneider (Ex-Spie Batignolles),SU.PA,oui,
2016-01-13,FR0000130809,13080,Société Générale,GLE.PA,oui,
2016-01-13,BE0003470755,5809,Solvay,SOLB.BR,oui,
2016-01-13,FR0000131708,13170,Technip,,non,aucune serie servie sur 2009-2018 (candidat TEC.PA)
2016-01-13,FR0000120271,12027,Total,TTE.PA,oui,
2016-01-13,FR0000124711,12471,Unibail-Rodamco,,non,"aucune serie en euros (candidats UL.PA, URW.AS)"
2016-01-13,FR0000130338,13033,Valeo,FR.PA,oui,
2016-01-13,FR0000124141,12414,Veolia Environnement,VIE.PA,oui,
2016-01-13,FR0000125486,12548,Vinci,DG.PA,oui,
